id,sum,text
139,4110,голень цыплёнок петелинка охладить
140,12600,бетон марка yes_nds_tag
141,1520,гос пошлина
142,36800,мкр фильтрпресса yes_nds_tag
143,1300,комиссия срочный платёж валюта российский федерация другие кредитный организация
144,4530,полотенца бумажный papia слой
145,301000000,возврат денежный средство договор заём no_nds_tag
146,4310000,обеспечительный платёж вилла
147,1760,ндс комиссия выполнение функция агент валютный контроль операция рамка контракт
148,760000,договор процентный заём no_nds_tag
149,2520,кекс круассаны рулет
150,1870,маска koreain water brightening mask увлажнять тканевый amount_tag
151,3830000,услуга yes_nds_tag перевозка груз
152,570,комиссия открытие тариф акб первый банк ао no_nds_tag
153,2100,перевод собственный средство собственный счёт
154,1780000,дог финансовый аренда акт приём передача yes_nds_tag
155,3390,набор подарочный pantene pro aqua light шампунь бальзам amount_tag amount_tag
156,1650,товар уход автомобиль
157,23800,частичный костюм фаворит yes_nds_tag
158,24600,покупка орг техника
159,9600,программирование блок фара mercedes vin работа выполняться
160,5500,информационный услуга
161,2850000,дымовские колбаса yes_nds_tag
162,2570,корица kotanyi молотый amount_tag
163,44100,счёт фактура фитингиметизы yes_nds_tag
164,15900,аренда машина автомобиль
165,38200,выплата содержание родный ребёнок
166,2980,подушечка любятово шоколадный начинка amount_tag
167,3940,коммунальный услуга
168,4950,ндс комиссия акб первый банк ао изготовление запрос клиент ведомость банковский контроль
169,1080,гос пошлина
170,4530,аэрозоль mosquitall профессиональный защита весь насекомое amount_tag
171,28000,штук новогодний шоколадный подарок yes_nds_tag
172,4930,гос услуга
173,4280,газета телек pressa ru
174,37100,возмещаемые расход yes_nds_tag
175,2900000,предоставление кредит нецелевой кредит
176,3420,бананы выгодно фасованный
177,26100,amount_tag мкр фильтрпресса yes_nds_tag
178,3360000,игристый вино asti yes_nds_tag
179,960,уход одежда обувь
180,1570,мыло хозяйственный econta amount_tag
181,4160,коктейль морепродукт fish house рассол amount_tag
182,46300,авиабилет проживание основание
183,3750,налог
184,1070,салфетки влажный top energy пластик amount_tag
185,44800,консультация юрист
186,3660,гос услуга
187,1370,комиссия организация сделка дог лизинг yes_nds_tag
188,21000,бухгалтерский сопровождение
189,4580000,рамка договор финансовый аренда yes_nds_tag
190,2470000,услуга yes_nds_tag перевозка груз
191,530,комиссионный вознаграждение валютный перевод
192,1180,мороженый сарафаново пломбир шоколадный бзмж amount_tag
193,58000000,предвариельному квартира жк address_tag
194,36500,информационный услуга
195,3620,гостиница россия address_tag
196,4930000,договор процентный заём no_nds_tag
197,910000,рамка договор финансовый аренда yes_nds_tag
198,4230,консульский сбор
199,2550,ндс комиссия выполнение функция агент валютный контроль операция рамка контракт
200,3170,штраф
201,244000000,предоставление денежный средство договор заём no_nds_tag
202,40000,мкр фильтрпресса yes_nds_tag
203,4800,пшено селяночка шлифованное amount_tag
204,770,консульский сбор
205,34400,акт транспортный услуга налогандс
206,34400,выплата содержание родный ребёнок
207,3100000,строительный работа address_tag
208,32700,товарный накладный конфета алнка yes_nds_tag
209,47100,минеральный питьевой вода no_nds_tag
210,4290000,дог финансовый аренда акт приём передача yes_nds_tag
211,2860,перевод собственный средтсв собственный счёт
212,800,консервы фрукт ягода
213,45800,размещение реклама
214,3660,напиток чайный вкус польза шиповник каркаде amount_tag
215,1830,апельсин
216,1620000,договор процентный заём no_nds_tag
217,4700000,предоставление кредит нецелевой кредит
218,520,станок бритвенный gillette одноразовый amount_tag
219,640000,договор процентный заём no_nds_tag
220,4700000,предоплата раствор водный натриевый соль полиакриловый кислота yes_nds_tag
221,42400,транспортный услуга no_nds_tag
222,2190,губка мытьё посуда econta maxi amount_tag
223,22000,основный долг период оао второй банк
224,4420,комиссия организация сделка дог лизигна yes_nds_tag
225,1190,зубной паста aquafresh total care освежать мята amount_tag
226,3360,комиссия справка движение счёт обороты письменный запрос клиент согласно
227,3410000,договор процентный заём no_nds_tag
228,2260,средство мытьё посуда fairy нежный рука чайный дерево мята amount_tag
229,24900,штук новогодний шоколадный подарок yes_nds_tag
230,3960,гос пошлина
231,4730,хренодер global village классический упаковка ассортимент amount_tag
232,46700,авиабилет проживание основание
233,323000000,предоставление денежный средство договор заём no_nds_tag
234,16900,частичный костюм фаворит yes_nds_tag
235,2030000,договор процентный заём no_nds_tag
236,2680000,лизинговый платёж yes_nds_tag
237,680000,договор лизинг акт приём передача yes_nds_tag
238,9300,обучение
239,38100,комиссия акб первый банк ао выдача носитель ключ эп система интернет клиент no_nds_tag
240,320000000,догвору купля продажа вилла address_tag
241,13600,штук новогодний шоколадный подарок yes_nds_tag
242,42500,доставка водный транспорт address_tag удэ address_tag
243,3330000,сырь пищевой промышленность yes_nds_tag
244,4620000,договор процентный заём no_nds_tag
245,990,собственный средство
246,49000,участие конференция address_tag амуре
247,40000,покупка авиабилет address_tag address_tag
248,47300,юридический услуга
249,3730000,запасный часть оборудование
250,49900,бронирование отель address_tag
251,39600,размещение реклама
252,4040,гречка ядрица amount_tag
253,1750,диск ватный самая мягкий нежный amount_tag
254,5000000,дог финансовый аренда акт приём передача yes_nds_tag
255,6000,покупка непродовольственный товар связать предпринимательский деятельность
256,184000000,возврат денежный средство договор заём no_nds_tag
257,38900,алименты
258,1750000,сырь пищевой промышленность yes_nds_tag
259,16700,размещение реклама
260,39900,бронирование отель address_tag
261,3760,перевод собственный средство
262,1900,станок бритвенный gillette одноразовый amount_tag
263,4450000,предоставление кредит приобретение недвижимость
264,2460,печение шарлиз сдобное апельсин amount_tag
265,2350000,запчасть договор поставка гбд ао автодом ауди
266,16200,частичный костюм фаворит yes_nds_tag
267,580,консульский сбор
268,770,средство чистить liberhaus лимонный свежесть унитаз ассортимент amount_tag
269,30600,лечение
270,760000,транспортный услуга yes_nds_tag
271,11300,счёт фактура фитингиметизы yes_nds_tag
272,12900,авиабилет проживание основание
273,32000,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
274,1030,кофе зерно yes_nds_tag
275,4250000,паевой взнос жилищно строительный кооператив цель приобретение право собственность жилой помещение address_tag
276,3190,дезодорант seasons обувь amount_tag
277,3410,гос услуга
278,1360000,жктм yes_nds_tag
279,31100,авиабилет проживание основание
280,24100,штук новогодний шоколадный подарок yes_nds_tag
281,860,мицеллярная вода чистый линия цветочный amount_tag
282,4840000,договор лизинг акт приём передача yes_nds_tag
283,30000,акт транспортный услуга налогандс
284,11100,аренда машина автомобиль
285,35900,комиссия акб первый банк ао выдача носитель ключ эп система интернет клиент no_nds_tag
286,1000,чайный напиток greenfield cherry blossom аромат вишня amount_tag
287,4970,гречка ядрица селяночка быстроразваривающаяся пропаренная amount_tag
288,4570000,договор процентный заём no_nds_tag
289,34500,медицинский обслуживание
290,1540,свеча kukina raffinata хозяйственный amount_tag
291,2070000,аванс гсм сумма yes_nds_tag
292,5000,коммунальный услуга
293,4090000,обеспечительный платёж виллудоговор
294,42200,покупка авиабилет address_tag address_tag
295,38800,лечение
296,2430000,окончательный расчёт акт приём передача договор лизинг yes_nds_tag
297,69000000,предоставление денежный средство договор заём no_nds_tag
298,436000000,предоставление денежный средство договор заём no_nds_tag
299,4900,гостиница россия address_tag
300,3650,комиссия организация сделка дог лизинг yes_nds_tag
301,153000000,возврат денежный средство договор заём no_nds_tag
302,4110000,договор лизинг акт приём передача yes_nds_tag
303,4060,набор кондитерский изделие kinder mix amount_tag
304,46800,абхазсие мандарины yes_nds_tag
305,2830,губка мытьё посуда econta maxi amount_tag
306,34500,транспортный услуга no_nds_tag
307,1860000,договор процентный заём no_nds_tag
308,2470,форель северный компания подкопченная филе кусок amount_tag
309,3840,комиссия организация сделка дог лизинг yes_nds_tag
310,336000000,приобретение недвижимость address_tag декбаря
311,47200,услуга yes_nds_tag
312,6900,покупка непродовольственный товар связать предпринимательский деятельность
313,228000000,предоставление денежный средство договор заём no_nds_tag
314,3140,порошок стиральный ушастый нянь детский бельё amount_tag
315,14200,тур поездка
316,13500,счёт фактура фитингиметизы yes_nds_tag
317,2220,гос пошлина
318,43700,покупка авиабилет address_tag новгород address_tag договор
319,870,перец чёрный красный цена молотый amount_tag
320,3030,посуда сервировка
321,1640,консульский сбор
322,49500,мкр фильтрпресса yes_nds_tag
323,2350000,договор процентный заём no_nds_tag
324,3780,налог
325,1230,налог
326,3870,собств средство
327,4780000,покупка продовольственный товар
328,2250,комиссионный вознаграждение валютный перевод
329,36500,покупка авиабилет address_tag address_tag
330,4500,антиперспирант nivea эффект пудра женский спрей amount_tag
331,1080,яблоко гренни смит
332,52000000,предоставление денежный средство договор заём no_nds_tag
333,9400,лечение
334,22100,мясной деликатес yes_nds_tag
335,4100,тунец fish house кусочек собственный сок amount_tag
336,2950,губка мытьё посуда econta maxi amount_tag
337,16700,оказание прочих услуга
338,4800,гостиница россия address_tag
339,27900,транспортировка перевозка грузовой транспорт address_tag address_tag
340,38600,консультация юрист
341,2600000,договор процентный заём no_nds_tag
342,17400,пищев добавка ев курс yes_nds_tag
343,8200,возмещаемые расход yes_nds_tag
344,33200,оказание прочих услуга
345,27900,медицинский обслуживание
346,34300,акт транспортный услуга yes_nds_tag
347,7900,программирование блок фара mercedes vin работа выполняться
348,1860000,покупка продовольственный товар
349,459000000,предвариельному квартира жк address_tag
350,2630,очиститель tiret стиральный машина amount_tag
351,4510000,услуга yes_nds_tag перевозка груз
352,3670,чай чёрный ahmad tea mango magic аромат манго amount_tag
353,2200,яйцо kinder сюрприз молочный шоколад игрушка ассортимент amount_tag
354,4020,ндс комиссия выполнение функция агент валютный контроль операция рамка контракт
355,2390,гостиница россия address_tag
356,4740000,акт сверка рамка договор лизинг yes_nds_tag
357,1100000,договор процентный заём no_nds_tag
358,530,государственный пошлина
359,4490,госитницу россия address_tag
360,830,контейнер еда
361,930000,сырь пищевой промышленность yes_nds_tag
362,4070,комиссия организация сделка дог лизинг yes_nds_tag
363,32500,бронирование отель address_tag
364,4690,гос услуга
365,4930,комиссия открытие тариф акб первый банк ао no_nds_tag
366,31900,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
367,183000000,предоставление денежный средство договор заём no_nds_tag
368,15900,пищев добавка ев курс yes_nds_tag
369,15800,лечение
370,710,масло санта бремор бутербродный лососёвый amount_tag
371,38400,авиабилет проживание основание
372,35600,бронирование отель address_tag
373,4310,мёд медовый край разнотравье цветочный натуральный amount_tag
374,13600,выплата содержание родный ребёнок
375,3860000,рамка договор финансовый аренда yes_nds_tag
376,2180,порошок стиральный ушастый нянь детский бельё amount_tag
377,1500,гостиница россия address_tag
378,34200,лечение договор
379,4050,дезодорант антиперспирант рексона женский спрей яркий букет amount_tag
380,1720,коммунальный услуга
381,4290000,сброс загрязнять вещество
382,118000000,предоставление денежный средство договор заём no_nds_tag
383,236000000,возврат денежный средство договор заём no_nds_tag
384,2960,ватный диск pupi amount_tag
385,2660,кофе зерно yes_nds_tag
386,6700,товарный накладный конфета алнка yes_nds_tag
387,2920,мармелад mix bar жевательный вкус кола amount_tag
388,2830,икра имитированная fish house красный вкус лососёвый икра amount_tag
389,46300,amount_tag согл amount_tag счёт фактура
390,37200,мясной деликатес yes_nds_tag
391,3730000,дог финансовый аренда акт приём передача yes_nds_tag
392,3020000,аренда помещение договор субаренда
393,10600,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
394,47100,участие конференция address_tag
395,487000000,предоставление денежный средство договор заём no_nds_tag
396,3320,налог
397,35100,выплата содержание родный ребёнок
398,6100,покупка непродовольственный товар связать предпринимательский деятельность
399,3600000,договор процентный заём no_nds_tag
400,3610,штраф
401,600,налог
402,23900,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
403,590,средство grass azelit spray стеклокерамика чистить кухня amount_tag
404,550000,строительный работа address_tag
405,313000000,предвариельному квартира жк address_tag
406,4320,гос пошлина
407,3610,ананас global village кусочек сироп amount_tag
408,17000,аренда машина автомобиль
409,3880000,игристый вино asti yes_nds_tag
410,1230000,дог финансовый аренда акт приём передача yes_nds_tag
411,2610000,предоставление кредит приобретение недвижимость
412,1200,газета телек pressa ru
413,4620000,транспортный услуга yes_nds_tag
414,10700,авиабилет проживание основание
415,2530,уход стиральный машина
416,4040,комиссия открытие тариф акб первый банк ао no_nds_tag
417,4390,крекер зерница лук amount_tag
418,600,собственный средство
419,3510,перевод средство собственный счёт
420,369000000,приобретение недвижимость address_tag
421,690,комиссионный вознаграждение валютный перевод
422,11900,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
423,3140000,предоплата раствор водный натриевый соль полиакриловый кислота yes_nds_tag
424,4030,гель душ camay магический заклинание amount_tag
425,9700,лечение
426,2210,кухонный аксессуар
427,30700,товарой накладный штук пачка кофе lavaza yes_nds_tag
428,4660,диетический сладость
429,35000,обучение
430,32400,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
431,2000,шарик любятово шоколадный amount_tag
432,790,соление протёртый ягода
433,3890,набор ложка hk kiana group чайный
434,2800,комиссионный вознаграждение валютный перевод
435,4170000,долевой инвестирование жилищный строительство
436,3710000,предоплата автозапчасти год
437,25200,аперля транспортный услуга no_nds_tag
438,37800,информационный услуга
439,4120000,предоплата автозапчасти год
440,10200,авиабилет проживание основание
441,2560,специя напиток
442,1460,набор вилка hk kiana group столовый
443,1940,консульский сбор
444,14300,программирование блок фара mercedes vin работа выполняться
445,2380000,запасный часть оборудование
446,830,перевод собственный средство собственный счёт
447,1020,ндс комиссия выполнение функция агент валютный контроль операция рамка контракт
448,4740,круассаны days мини крем вкус ваниль amount_tag
449,32600,ндс комиссия акб первый банк ао выполнение функция агент валютный контроль
450,3240,жидкость мыть mr proper лимон пол стена amount_tag
451,1400,перевод
452,324000000,дкп коттедж посёлок благовещенский
453,2660,гос пошлина
454,1780,шоколадный арахисовый пасты
455,1870000,дог финансовый аренда акт приём передача yes_nds_tag
456,15300,минеральный питьевой вода no_nds_tag
457,1590,порошок стиральный ушастый нянь детский бельё amount_tag
458,4440,налог
459,2390,пшено селяночка шлифованное amount_tag
460,1760,фольга алюминиевый econta хранение упаковка продукт amount_tag
461,2750,перевод средство собственный счёт
462,38600,мясной деликатес yes_nds_tag
463,10600,бронирование отель address_tag
464,44300,комиссия выполнение функция агент валютный контроль операция рамка контракт кредитный обслуживание
465,910,рукав запекание econta amount_tag
466,610,гос пошлина
467,2140,минтай borealis филе блочный кожа кость amount_tag
468,1770,чечевица global village красный amount_tag
469,650,карамель chupa chups xxl trio жевательный резинка ассортимент amount_tag
470,29200,абхазсие мандарины yes_nds_tag
471,4730,макароны barilla джирандоле amount_tag
472,3120000,лизинговый платёж yes_nds_tag
473,4220,палочка сдобный шарлиз снежок малиновый джем amount_tag
474,3460,собств средство
475,2900,порошок стиральный tide color детский гипоаллергенный amount_tag
476,3880,мёд медовый край разнотравье цветочный натуральный amount_tag
477,1030000,дог финансовый аренда акт приём передача yes_nds_tag
478,2440000,договор процентный заём no_nds_tag
479,12300,amount_tag согл amount_tag счёт фактура
480,2670,собств средство
481,3320000,предоставление кредит приобретение товар длительный пользование
482,3230,подушечка любятово шоколадный начинка amount_tag
483,3460,перевод собственный средство
484,2860000,паевой взнос жилищно строительный кооператив цель приобретение право собственность жилой помещение address_tag
485,2740000,транспортный услуга yes_nds_tag
486,25500,штук новогодний шоколадный подарок yes_nds_tag
487,36800,участие конференция address_tag
488,17400,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
489,3690000,игристый вино asti yes_nds_tag
490,18000,бронирование отель address_tag
491,4690000,насос частичный yes_nds_tag
492,364000000,предоставление денежный средство договор заём no_nds_tag
493,3500,банковский сбор налог ндс
494,4970000,обеспечительный платёж вилла
495,2740,собств средство
496,10100,акт транспортный услуга yes_nds_tag
497,4290000,дымовские колбаса yes_nds_tag
498,400000000,возврат денежный средство договор заём no_nds_tag
499,48800,доставка автомобиль address_tag address_tag доогвору
500,227000000,возврат денежный средство договор заём no_nds_tag
501,3760000,предоставление кредит приобретение товар длительный пользование
502,750000,предоплата раствор водный натриевый соль полиакриловый кислота yes_nds_tag
503,4200,губка мытьё посуда econta maxi amount_tag
504,12800,транспортировка перевозка железный дорога address_tag address_tag сахалинск
505,760,гос услуга
506,2790,минеральный питьевой вода no_nds_tag
507,1140000,запчасть договор поставка гбд ао автодом ауди
508,15000,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
509,34000,счёт фактура фитингиметизы yes_nds_tag
510,4630,перчатка econta трикотажный пара
511,4730,дезодорант антиперспирант рексона женский спрей нежный сочно amount_tag
512,2150000,покупка продовольственный товар
513,133000000,дкп коттедж посёлок благовещенский
514,10200,частичный костюм фаворит yes_nds_tag
515,44900,частичный костюм фаворит yes_nds_tag
516,4650,налог
517,2380000,договор процентный заём no_nds_tag
518,30500,консультирование сфера информационный технология
519,32300,доставка железный дорога address_tag address_tag
520,4270,штраф
521,38100,авиабилет проживание основание
522,2760,макароны makfa улитка amount_tag
523,3390000,договор процентный заём no_nds_tag
524,4000000,договор процентный заём no_nds_tag
525,1960,восточный сладость халва
526,41100,возмещение расход страхование осаго договор лизинг сумма no_nds_tag
527,2210,шпроты вкусный консервы крупный масло amount_tag
528,46000,транспортный услуга no_nds_tag
529,4900,продукт быстрый приготовление
530,95000000,возврат денежный средство договор заём no_nds_tag
531,2870000,окончательный расчёт акт приём передача договор лизинг yes_nds_tag
532,4390,зефир шарлиз глазированный ваниль amount_tag
533,2670,процент период
534,4660000,нутсафлор yes_nds_tag
535,31100,транспортировка перевозка водный транспорт address_tag address_tag петербург
536,810,драже mms арахис молочный шоколад amount_tag
537,23500,авиабилет проживание основание
538,2160,консервы рыба морепродукт
539,4950,тунец fish house кусочек собственный сок amount_tag
540,820000,договор процентный заём no_nds_tag
541,16800,ндс комиссия акб первый банк ао выполнение функция агент валютный контроль
542,1480,уход стиральный машина
543,3240,гос пошлина
544,2820,гостиница россия address_tag
545,1720,комиссия организация сделка дог лизинг yes_nds_tag
546,3050,ндс комиссия выполнение функция агент валютный контроль операция рамка контракт
547,28100,авиабилет проживание основание
548,15700,частичный костюм фаворит yes_nds_tag
549,2250000,предоставление кредит нецелевой кредит
550,1440000,пополнение оборотный средство no_nds_tag
551,2340,сумка продукт
552,520,собств средство
553,2420,собственный средство
554,5700,основный долг период оао второй банк
555,30100,лечение
556,2120000,транспортный услуга yes_nds_tag
557,780,гос пошлина
558,1340,гостиница россия address_tag
559,1890000,предоставление кредит приобретение недвижимость
560,640000,акт сверка рамка договор лизинг yes_nds_tag
561,3350,полотенца бумажный familia слой
562,2840000,запчасть договор поставка гбд ао автодом ауди
563,14300,бетон марка yes_nds_tag
564,2000000,договор процентный заём no_nds_tag
565,580,собств средство
566,660,голень цыплёнок петелинка охладить
567,466000000,догвору купля продажа вилла address_tag
568,91000000,возврат денежный средство договор заём no_nds_tag
569,2180,чайный напиток greenfield cherry blossom аромат вишня amount_tag
570,1650000,договор процентный заём no_nds_tag
571,3040000,обеспечительный платёж вилла
572,4390000,покупка продовольственный товар
573,4360,комиссия справка наличие отсутствие ссудный задолженность письменный запрос клиент
574,3180000,договор процентный заём no_nds_tag
575,48100,консультирование сфера информационный технология
576,255000000,предоставление денежный средство договор заём no_nds_tag
577,2300,кофе lebo принц лебо арабика молотый турки amount_tag
578,23900,авиабилет проживание основание
579,3630000,аванс гсм сумма yes_nds_tag
580,3020000,строительный работа address_tag договор
581,4360,штраф
582,26300,минеральный питьевой вода no_nds_tag
583,4130,комиссия справка движение счёт обороты письменный запрос клиент согласно
584,3000,минеральный питьевой вода no_nds_tag
585,38900,штук новогодний шоколадный подарок yes_nds_tag
586,2720,комиссия справка наличие отсутствие ссудный задолженность письменный запрос клиент
587,3460000,рамка договор финансовый аренда yes_nds_tag
588,3050,уксус сп мирный aceto balsamico бальзамический amount_tag
589,479000000,предоставление денежный средство договор заём no_nds_tag
590,48400,бетон марка yes_nds_tag
